År;Kvartal;Total försening, timmar;Genomsnittlig försening för samtliga tåg, minuter;Genomsnittlig försening av försenade tåg, minuter;Genomsnittlig försening av tåg som är mer än 5 minuter försenade, minuter
2013;kvartal 1;10202;3;8;23
2013;kvartal 2;10231;3;8;22
2013;kvartal 3;8736;2;7;21
2013;kvartal 4;11263;3;8;24
2014;kvartal 1;9310;2;8;23
2014;kvartal 2;12643;3;10;25
2014;kvartal 3;12852;3;9;24
2014;kvartal 4;8872;2;7;19
2015;kvartal 1;10271;3;8;23
2015;kvartal 2;10224;3;8;22
2015;kvartal 3;10719;3;8;22
2015;kvartal 4;12096;3;8;22
2016;kvartal 1;11726;3;8;23
2016;kvartal 2;9993;2;7;21
2016;kvartal 3;9731;2;8;23
2016;kvartal 4;13338;3;8;24
2017;kvartal 1;10309;2;8;24
2017;kvartal 2;13469;3;9;25
2017;kvartal 3;9994;3;8;23
2017;kvartal 4;12893;3;8;24
2018;kvartal 1;17931;4;12;29
2018;kvartal 2;16067;4;10;25
2018;kvartal 3;15438;4;10;26
2018;kvartal 4;13103;3;8;22
2019;kvartal 1;12903;3;9;26
2019;kvartal 2;11704;3;9;25
2019;kvartal 3;10195;2;8;24
2019;kvartal 4;9874;2;7;23
